COG_id	Fg	FgN	Bg	BgN	Total	Fg_Rate	P_value	P_adjust
arCOG00792	508	1362550	352	22931090	860	0.590698	0	0
COG1517	1389	1361669	1876	22929566	3265	0.425421	0	0
COG1474	4763	1358295	40009	22891433	44772	0.106383	0	0
COG1315	6601	1356457	15907	22915535	22508	0.293274	0	0
arCOG02491	861	1362197	802	22930640	1663	0.517739	0	0
arCOG01205	2217	1360841	1124	22930318	3341	0.663574	0	0
COG1367	2349	1360709	4148	22927294	6497	0.361551	0	0
COG0358	30398	1332660	321910	22609532	352308	0.0862825	0	0
COG3728	8419	1354639	69511	22861931	77930	0.108033	0	0
COG1372	16963	1346095	57969	22873473	74932	0.226379	0	0
COG4047	1117	1361941	1599	22929843	2716	0.411267	0	0
COG0419	25467	1337591	165728	22765714	191195	0.133199	0	0
COG1337	5165	1357893	24249	22907193	29414	0.175597	0	0
COG3513	2793	1360265	18717	22912725	21510	0.129847	0	0
COG2842	618	1362440	645	22930797	1263	0.489311	0	0
COG2356	14909	1348149	62443	22868999	77352	0.192742	0	0
COG3378	10282	1352776	91131	22840311	101413	0.101387	0	0
COG1107	1144	1361914	1981	22929461	3125	0.36608	0	0
COG3598	19831	1343227	183907	22747535	203738	0.0973358	0	0
COG1583	1205	1361853	4245	22927197	5450	0.221101	0	0
COG1604	1565	1361493	4187	22927255	5752	0.272079	0	0
COG4646	6433	1356625	14753	22916689	21186	0.303644	0	0
COG2812	8656	1354402	89684	22841758	98340	0.0880212	0	0
COG1075	3848	1359210	16765	22914677	20613	0.186678	0	0
arCOG04114	269	1362789	0	22931442	269	1	0	0
COG0338	7401	1355657	67246	22864196	74647	0.0991467	0	0
arCOG08231	2684	1360374	11614	22919828	14298	0.187719	0	0
COG1110	4084	1358974	1767	22929675	5851	0.698	0	0
COG1525	19415	1343643	204877	22726565	224292	0.0865613	0	0
COG0515	126152	1236906	1211659	21719783	1337811	0.0942973	0	0
arCOG03038	1038	1362020	1429	22930013	2467	0.420754	0	0
COG1555	6907	1356151	63955	22867487	70862	0.0974711	0	0
COG1195	9948	1353110	44472	22886970	54420	0.1828	0	0
COG4220	1745	1361313	8826	22922616	10571	0.165074	0	0
arCOG03439	1244	1361814	1826	22929616	3070	0.405212	0	0
COG2254	774	1362284	1205	22930237	1979	0.391107	0	0
arCOG01199	439	1362619	4	22931438	443	0.990971	0	0
COG3935	12806	1350252	52280	22879162	65086	0.196755	0	0
COG1688	1356	1361702	4027	22927415	5383	0.251904	0	0
COG3780	1074	1361984	2716	22928726	3790	0.283377	0	0
arCOG03239	2097	1360961	4385	22927057	6482	0.323511	0	0
arCOG02106	629	1362429	185	22931257	814	0.772727	0	0
COG1332	2031	1361027	2755	22928687	4786	0.424363	0	0
COG4951	4109	1358949	20345	22911097	24454	0.16803	0	0
COG3723	5788	1357270	38752	22892690	44540	0.129951	0	0
arCOG11983	326	1362732	0	22931442	326	1	0	0
arCOG01312	2367	1360691	1297	22930145	3664	0.646015	0	0
COG1203	5650	1357408	43036	22888406	48686	0.11605	0	0
arCOG04926	3024	1360034	7236	22924206	10260	0.294737	0	0
COG3204	25423	1337635	34753	22896689	60176	0.422477	0	0
COG1599	2729	1360329	17025	22914417	19754	0.138149	0	0
COG0675	17253	1345805	103391	22828051	120644	0.143008	0	0
COG1567	2005	1361053	3680	22927762	5685	0.352682	0	0
