Idents(object = data)	clstr	UMAP_1	UMAP_2	Eco2
FDZ033-RR4-6	C0	-4.469301218	6.210249338	Trench
FDZ033-YG8-10	C0	-1.844754928	9.550179873	Trench
FDZ03815-16	C0	-4.291468138	6.30103961	Trench
FDZ039-YBe8-10	C0	-2.8140912	4.112322722	Trench
FDZ044-RBk14-16	C0	-4.415152067	6.139497671	Trench
FDZ046-RG10-12	C0	-2.68118214	4.341928397	Trench
FDZ053-N2-4	C0	-2.643543714	4.659205351	Trench
FDZ053-N8-10	C0	-3.945523256	7.078779612	Trench
FDZ054-RG18-20	C0	-1.59987306	6.043528471	Trench
FDZ062-GYBe10-12	C0	-2.574961895	6.086562071	Trench
FDZ062-GYBe14-16	C0	-2.820249075	6.558521662	Trench
FDZ062-GYBe26-28	C0	-3.468086714	7.07193223	Trench
FDZ062-GYBe8-10	C0	-2.358349556	5.92781869	Trench
FDZ062-GYBk4-6	C0	-2.812559599	4.356521521	Trench
FDZ062-WuWR14-16	C0	-2.81846785	6.863831911	Trench
FDZ062-WuWR4-6	C0	-3.990987772	6.015868101	Trench
FDZ062-WuWW10-12	C0	-1.775238508	4.950582419	Trench
FDZ062-WuWW6-8	C0	-3.111806864	4.215673838	Trench
FDZ062-WuWW8-10	C0	-2.112872595	4.930410776	Trench
FDZ062-WuYW0-2	C0	-3.312770838	6.580704127	Trench
FDZ062-WuYW10-12	C0	-1.685974831	5.722664271	Trench
FDZ062-WuYW14-16	C0	-3.032241577	7.625247393	Trench
FDZ062-WuYW16-18	C0	-2.654816622	6.968319331	Trench
FDZ062-WuYW2-4	C0	-3.142735952	7.006171618	Trench
FDZ063-WW2-4	C0	-3.065352196	6.325370226	Trench
FDZ063-YBkR10-12	C0	-2.900713676	8.708408747	Trench
FDZ063-YBkR14-16-W-W	C0	-2.614699119	6.83472291	Trench
FDZ063-YBkR6-8	C0	-2.71919846	6.599483404	Trench
FDZ064-RWG8-10	C0	-1.012735003	5.091149721	Trench
FDZ066-BawG10-12	C0	-2.455549234	7.658740435	Trench
FDZ066-BawG12-14	C0	-2.116285557	7.92525712	Trench
FDZ066-BawG16-18	C0	-1.736422533	7.997644816	Trench
FDZ066-BawG20-22	C0	-2.470310921	7.989930544	Trench
FDZ066-BawG26-28	C0	-3.010641807	8.077726755	Trench
FDZ066-BawG4-6	C0	-3.322500223	7.419315729	Trench
FDZ066-BawG6-8	C0	-3.045106882	7.716991816	Trench
FDZ066-BaYG10-12	C0	-2.664370531	6.471444044	Trench
FDZ066-BUG6-8	C0	-3.941249842	6.961031351	Trench
FDZ066-ww10-12	C0	-1.783148283	5.623174105	Trench
FDZ066-ww12-14	C0	-1.594490284	5.510350619	Trench
FDZ066-ww8-10	C0	-2.056428427	5.725917254	Trench
FDZ066-YRBa18-20	C0	-2.997142071	7.191017542	Trench
FDZ069-BaYG-BaYR12-14	C0	-2.339791054	6.172951613	Trench
FDZ069-BaYG-BaYR6-8	C0	-2.296405548	6.090989981	Trench
FDZ069-BaYG-BaYR8-10	C0	-2.74977755	6.715025339	Trench
FDZ069-GBeBe10-12	C0	-2.055526728	6.226369295	Trench
FDZ069-GBeBe12-14	C0	-2.07006287	6.220116053	Trench
FDZ069-GBeBe14-16	C0	-1.917216534	6.366124544	Trench
FDZ069-GBeBe16-18	C0	-1.859994406	6.199497614	Trench
FDZ069-GBeBe18-20	C0	-1.977507109	6.260589514	Trench
FDZ069-GBeBe20-22	C0	-2.557439083	6.381925021	Trench
FDZ069-GBeBe22-24	C0	-2.05916571	6.149100695	Trench
FDZ069-GBeBe2-4	C0	-3.764208788	5.296986971	Trench
FDZ069-GBeBe24-26	C0	-2.053033346	6.314750109	Trench
FDZ069-GBeBe26-28	C0	-2.109410995	5.96164361	Trench
FDZ069-GBeBe28-30	C0	-1.993476623	6.100184355	Trench
FDZ069-GBeBe30-34	C0	-2.139170402	6.137119208	Trench
FDZ069-GBeBe4-6	C0	-2.789711231	5.325498495	Trench
FDZ069-GBeBe6-8	C0	-2.563228125	5.758431826	Trench
FDZ069-GBeBe8-10	C0	-2.091349358	6.159125719	Trench
FDZ069-GRR12-14	C0	-4.135998243	5.944517527	Trench
FDZ069-GRR14-16	C0	-4.052675718	5.812177096	Trench
FDZ069-GRR16-18	C0	-4.198799127	6.042797003	Trench
FDZ069-GRR18-20	C0	-4.12345981	6.103091154	Trench
FDZ069-GRR20-22	C0	-3.876404756	6.014182959	Trench
FDZ069-GRR22-24	C0	-4.008541101	6.055313502	Trench
FDZ069-GRR24-26	C0	-4.038921827	6.069702063	Trench
FDZ069-R36-8	C0	-3.705238336	5.697813425	Trench
FDZ069-R38-10	C0	-3.609860891	6.031968031	Trench
FDZ069-RBkY10-12	C0	-3.759371275	6.148235236	Trench
FDZ069-RBkY18-20	C0	-3.532483572	6.177572165	Trench
FDZ069-RBkY20-22	C0	-3.091108555	6.386642847	Trench
FDZ069-RBkY8-10	C0	-3.706416124	5.431489382	Trench
FDZ069-RGG10-12	C0	-2.90722751	7.310919199	Trench
FDZ069-RGG12-14	C0	-2.967914099	6.804060374	Trench
FDZ069-RGG2-4	C0	-3.630183214	6.598217879	Trench
FDZ069-RGG6-8	C0	-3.067592138	6.958437357	Trench
FDZ069-RGG8-10	C0	-3.317729944	6.86945096	Trench
FDZ069-RGY10-12	C0	-3.117107147	9.683607493	Trench
FDZ069-RGY12-14	C0	-1.813785309	7.648160372	Trench
FDZ069-RGY14-16	C0	-1.779497856	7.668877993	Trench
FDZ069-RGY16-18	C0	-2.309837335	7.950909052	Trench
FDZ069-RGY18-20	C0	-1.70696711	7.881399546	Trench
FDZ069-RGY20-22	C0	-1.58336615	7.829872523	Trench
FDZ069-RGY22-24	C0	-1.706918949	7.823084269	Trench
FDZ069-RGY24-26	C0	-1.518123621	7.801889811	Trench
FDZ069-RGY26-28	C0	-1.604611391	7.88594285	Trench
