Sample	Temperature	Depth	Ecosystem	HV_Others	HE_Others	DSM_0039108973_RG	DSM_0405589153_Cren7	DSM_0109376981_Cas9	DSM_0192097322_OGG
SAMN03002195	0.1	1000_4000	Others	Others	Others	5.94	0.06	0.13	0
SAMN03002196	0.1	1000_4000	Others	Others	Others	4.36	0	0	0.35
SAMEA104347370	0.1749	1000_4000	Others	Others	Others	14.59	0	0	0
SAMEA104347371	0.1749	1000_4000	Others	Others	Others	0	0	0	0
SAMEA104347378	0.2619	1000_4000	Others	Others	Others	0	0	0	0
SAMEA104347379	0.2619	1000_4000	Others	Others	Others	0	0	0	0
SAMEA104347330	0.2958	1000_4000	Others	Others	Others	0	0	0	0
SAMEA104347331	0.2958	1000_4000	Others	Others	Others	0	0	0	0
SAMEA104347340	0.345	1000_4000	Others	Others	Others	0	0	0	0
SAMEA104347341	0.345	1000_4000	Others	Others	Others	0	0	0	0
SAMEA104347342	0.345	1000_4000	Others	Others	Others	0	0	0	0
SAMEA104347343	0.345	1000_4000	Others	Others	Others	0	0	0	0
SAMEA104347372	0.3457	1000_4000	Others	Others	Others	13.41	0	0	0
SAMEA104347373	0.3457	1000_4000	Others	Others	Others	8.11	0	0	0
SAMEA104347338	0.351	1000_4000	Others	Others	Others	16.05	0	0	0
SAMEA104347339	0.351	1000_4000	Others	Others	Others	0	0	0	0
SAMEA104347336	0.3652	1000_4000	Others	Others	Others	0	0	0	0
SAMEA104347337	0.3652	1000_4000	Others	Others	Others	0	0	0	0
SAMEA104347377	0.3856	1000_4000	Others	Others	Others	17.03	0	17.03	0
SAMEA104347376	0.3856	1000_4000	Others	Others	Others	0	0	0	0
SAMEA104347334	0.3881	1000_4000	Others	Others	Others	6.32	0	0	0
SAMEA104347335	0.3881	1000_4000	Others	Others	Others	0	0	0	0
SAMEA104347333	0.4038	1000_4000	Others	Others	Others	21.78	0	0	0
SAMEA104347332	0.4038	1000_4000	Others	Others	Others	0	0	0	0
SAMEA104347374	0.4048	1000_4000	Others	Others	Others	0	0	0	0
SAMEA104347375	0.4048	1000_4000	Others	Others	Others	0	0	0	0
SAMEA5281148	0.5539	1000_4000	Others	Others	Others	18.34	0	3.06	0
SAMN05425829	1.01	1000_4000	Hydrothermal_vents	HV	Others	7.89	0	0.97	0.48
SAMN05425830	1.01	1000_4000	Hydrothermal_vents	HV	Others	7.7	0	0.46	0.92
SAMN05425828	1.02	1000_4000	Hydrothermal_vents	HV	Others	5.15	0	0.45	1.6
SAMN05425827	1.03	1000_4000	Hydrothermal_vents	HV	Others	6.07	0	0.26	1.29
SAMN09060591	1.6	1000_4000	Hydrothermal_vents	HV	Others	74.97	0	55.76	0
SAMEA5700201	1.63	4000_6000	Others	Others	Others	0	0	0	0
SAMEA5700198	1.71	4000_6000	Others	Others	Others	6.07	0	0	0
SAMN06251742	1.8	4000_6000	Hydrothermal_vents	HV	Others	558.81	8.11	7.72	0.48
SAMEA5700194	1.8	4000_6000	Others	Others	Others	0	0	0	0
SAMEA5700187	2.4395	1000_4000	Others	Others	Others	0	0	0	0
SAMEA5700200	2.91	1000_4000	Others	Others	Others	0	0	0	0
SAMN04256426	3	1000_4000	Others	Others	Others	9.35	0.25	0.25	0.25
SAMN04256427	3	1000_4000	Others	Others	Others	11.84	0	0	0.69
SAMN04256429	3	1000_4000	Others	Others	Others	10.67	0	0	0.21
SAMN04256428	3	1000_4000	Others	Others	Others	6.49	0	0.25	0.75
SAMN06269081	3.1	4000_6000	Others	Others	Others	9.07	0.24	2.17	0.72
SAMN03458685	3.1	4000_6000	Others	Others	Others	4.5	0	11.39	0
SAMEA5700197	3.29	1000_4000	Others	Others	Others	0	0	2.84	0
SAMN06269074	3.3	4000_6000	Hydrothermal_vents	HV	Others	26.31	0.43	16.06	0.17
SAMEA5700193	3.37	1000_4000	Others	Others	Others	0	0	0	0
SAMN06269082	3.4	4000_6000	Others	Others	Others	15.22	0	0.94	1.75
SAMN06269076	3.6	4000_6000	Hydrothermal_vents	HV	Others	197.16	2.9	13.17	0.06
SAMD00394288	3.7	1000_4000	Others	Others	Others	20.53	0	2.11	3.16
SAMN03458688	3.7	4000_6000	Others	Others	Others	6.25	0	1.68	0
SAMN05991727	3.72	1000_4000	Others	Others	Others	5.72	0.11	1.1	0
SAMN05991720	3.72	1000_4000	Others	Others	Others	6.24	0	0.41	0
SAMN05991734	3.78	1000_4000	Others	Others	Others	0.6	0	0.04	0
SAMN03458686	3.8	4000_6000	Others	Others	Others	6.27	0	6.73	0
SAMN05991679	3.84	1000_4000	Others	Others	Others	0	0	0	0
SAMN05991713	3.87	1000_4000	Others	Others	Others	4.32	0	0.43	0
SAMN05991672	3.89	1000_4000	Others	Others	Others	10.88	0	1.28	0
