"GeneCluster"	"NS"	"REG"	"FC"	"p"	"FDR"
"DSM_0000039845"	7.89792079207921	16.6341791044776	2.10614661027748	3.73e-07	0.000123606461538462
"DSM_0000296975"	4.398	13.1825	2.99738517507958	0.753	0.855690846742284
"DSM_0000500720"	7.05010899182561	5.023	0.71247125481663	0.14	0.309609856262834
"DSM_0000553386"	21.3209243697479	34.958125	1.63961582498749	0.0154	0.0845136305732484
"DSM_0000584433"	7.68581325301205	10.8609523809524	1.41311687175017	0.0396	0.14821615986099
"DSM_0000586462"	7.30353365384615	18.9731578947368	2.59780522606961	4.48e-06	0.000665511724137931
"DSM_0000978886"	6.07854497354497	12.13	1.99554335006028	0.000222	0.0071907969924812
"DSM_0000996546"	3.36513513513514	5.13354838709677	1.52551032304699	0.444	0.624470127326151
"DSM_0001012264"	5.23828685258964	7.33085106382979	1.39947491806518	0.16	0.336726917440156
"DSM_0001331280"	4.74306701030928	11.18	2.35712461487467	1.87e-07	8.05596e-05
"DSM_0001430789"	3.31324324324324	2.1025	0.634574598254344	0.725	0.836448848419925
"DSM_0001530571"	2.04025641025641	3.3625	1.64807716476059	0.0893	0.235388278388278
"DSM_0001757533"	2.10611111111111	3.73555555555556	1.77367449221841	0.147	0.318229145728643
"DSM_0001813500"	12.6897590361446	7.916	0.623810111559459	0.0788	0.219296124031008
"DSM_0001939281"	5.12395759717314	8.17840579710145	1.59611113909557	0.0233	0.107931612903226
"DSM_0002024510"	9.84360902255639	13.9588888888889	1.4180661642394	0.244	0.432929159802306
"DSM_0002349392"	9.76973958333333	5.52888888888889	0.565919781354345	0.162	0.338949004371054
"DSM_0002487725"	6.21642857142857	12.7625	2.0530276916006	0.00449	0.0436634762979684
"DSM_0002749103"	5.58411764705882	9.25	1.65648372484989	0.143	0.313508396946565
"DSM_0002765660"	9.34135135135135	9.99777777777778	1.07027103485744	0.255	0.44313836224284
"DSM_0002814190"	4.57177914110429	7.9147619047619	1.73122140428904	0.0239	0.109649840255591
"DSM_0002899514"	5.97904225352113	10.8756756756757	1.81896618463783	0.0171	0.0891849878934625
"DSM_0003049243"	2.17362068965517	0.548333333333333	0.252267258930224	0.0105	0.0678170914542729
"DSM_0003109221"	4.85488372093023	9.215	1.89808871431309	0.249	0.436941751527495
"DSM_0003299361"	14.3219496855346	16.1760975609756	1.12946197383403	0.43	0.612174487772637
"DSM_0003688969"	6.9553738317757	7.71625	1.10939400047029	0.942	0.972940781587149
"DSM_0003849973"	2.746875	2.646	0.963276450511945	0.889	0.938219500244978
"DSM_0004205557"	4.08581818181818	7.6651724137931	1.87604344410209	0.0438	0.157111074104913
"DSM_0004314387"	8.46593220338983	14.4984210526316	1.71256049591636	0.00118	0.020415421686747
"DSM_0004458483"	5.58696428571429	3.6375	0.651069134145172	0.847	0.915882530120482
"DSM_0004648264"	5.21236111111111	9.8	1.88014602041088	0.0699	0.205268711656442
"DSM_0004940826"	2.18738317757009	5.0525	2.30983764152959	0.18	0.359332715477294
"DSM_0005061376"	12.2309	14.9351851851852	1.22110271404273	0.717	0.830778913394298
"DSM_0005166448"	10.0975581395349	18.1033333333333	1.79284269356702	0.0214	0.102777257525084
"DSM_0005367211"	9.83953642384106	10.1920930232558	1.03583061073492	0.993	1
"DSM_0005612493"	9.78820512820513	15.734	1.60744485775659	0.979	0.991660474958852
"DSM_0005838637"	7.88779591836735	9.50518518518519	1.20504958337622	0.394	0.580688333903524
"DSM_0006045632"	3.81261324041812	7.998	2.09777375664857	0.0966	0.245228520919269
"DSM_0006715528"	7.28534693877551	4.96	0.680818640715778	0.192	0.372416028815849
"DSM_0006950521"	7.8084350132626	8.69789473684211	1.11391011413539	0.211	0.395900696864112
"DSM_0007095628"	4.535625	11.183	2.4655918423591	0.00275	0.0331848739495798
"DSM_0007132401"	14.77	22.2024867724868	1.50321508276823	1.7e-05	0.00135506181818182
"DSM_0007265988"	9.52144144144144	13.0223076923077	1.36768238006789	0.0414	0.151788255319149
"DSM_0007448591"	11.4463043478261	13.9428571428571	1.21810994353869	0.503	0.673794776119403
"DSM_0007507143"	2.80324840764331	5.7175	2.0395980550317	0.773	0.868566510172144
"DSM_0007636291"	7.29669603524229	10.5919230769231	1.45160536025691	0.0937	0.241825493716337
"DSM_0008036174"	2.93439882697947	3.57642857142857	1.2187943024466	0.469	0.645511821086262
"DSM_0008356726"	8.92658181818182	12.5091216216216	1.40133388976986	2.37e-05	0.00175240677966102
"DSM_0008593465"	17.9300900900901	19.4204166666667	1.08311874447303	0.532	0.696612765957447
"DSM_0008596451"	6.20136574074074	10.883	1.75493600200075	0.0879	0.233460665844636
"DSM_0008599125"	4.2607027027027	4.19789473684211	0.985258777661076	0.707	0.822066396761134
"DSM_0008981036"	3.50029649595687	7.86363636363636	2.24656293337422	0.00226	0.0294141389728097
"DSM_0009259122"	12.4746153846154	12.63	1.01245606462354	0.54	0.702391304347826
"DSM_0009362600"	3.82630769230769	5.52133333333333	1.44299250800799	0.0133	0.0783272727272727
"DSM_0009590190"	7.09	2.9725	0.419252468265162	0.598	0.745423611111111
"DSM_0009705723"	9.87694915254237	10.7513333333333	1.08852775966412	0.862	0.922990069513406
"DSM_0009710247"	10.4381927710843	12.5125	1.19872283204635	0.7	0.817235772357723
"DSM_0009797141"	6.4896261682243	11.7184	1.80571263987097	4.85e-05	0.00297919436619718
"DSM_0010355994"	6.52299270072993	11.0077272727273	1.6875271486193	0.0549	0.177293253373313
"DSM_0010415064"	11.3267365269461	15.8765217391304	1.40168544587936	0.184	0.3641120808452
"DSM_0010630644"	4.96115942028985	5.627	1.13421068006544	0.256	0.443980676328502
"DSM_0010750586"	11.1335714285714	21.58	1.93828190158465	0.0492	0.167155835962145
"DSM_0010900833"	5.72379310344828	8.316	1.45288270377734	0.859	0.921686674968867
"DSM_0010967396"	11.827610619469	16.1211111111111	1.36300658093822	0.199	0.381188083592708
"DSM_0011014655"	6.65279069767442	20.7885714285714	3.12478963690206	0.00931	0.0648988349514563
"DSM_0011066392"	5.62351190476191	11.02	1.95962953162212	0.00114	0.0199639024390244
"DSM_0011129862"	8.04967032967033	16.7466666666667	2.0804164618941	0.000841	0.0172935428571429
"DSM_0011173593"	5.81157894736842	8.52857142857143	1.46751364918364	0.127	0.290555496548062
"DSM_0011341143"	3.51582524271845	13.9233333333333	3.96018925063743	0.00298	0.0346261290322581
"DSM_0011767170"	5.2340988372093	8.328	1.59110484135227	0.00572	0.0493822845691383
"DSM_0012067286"	6.69116666666667	7.12285714285714	1.06451647338887	0.715	0.82935379644588
"DSM_0012100399"	2.05956043956044	5.724	2.77923380642407	0.0432	0.15573690376569
"DSM_0012285521"	5.79083333333333	6.642	1.14698517772341	0.646	0.777799888205702
"DSM_0012380892"	2.58087837837838	3.96933333333333	1.53797767712997	0.818	0.897134419551935
"DSM_0012393113"	4.4446394984326	7.355	1.65480237544434	0.00413	0.0415701869158878
"DSM_0012756778"	1.15328358208955	1.82333333333333	1.58099305465683	0.523	0.689227286631998
"DSM_0012787974"	4.52532467532468	4.35666666666667	0.962730186062084	0.321	0.514268501301599
"DSM_0012821898"	4.48262626262626	4.95	1.10426337374375	0.596	0.744222608695652
"DSM_0012868660"	3.8074297188755	12.5772727272727	3.30334993839028	0.0227	0.106179804560261
"DSM_0012919529"	8.01700787401575	17.530625	2.18667927928813	0.00372	0.0393753316953317
"DSM_0012964425"	5.69652173913043	6.28777777777778	1.10379246595092	0.549	0.711092002405292
"DSM_0013009346"	7.38726457399103	5.93037037037037	0.802782993755216	0.921	0.959300773694391
"DSM_0013157539"	2.68910256410256	1.195	0.444386174016687	0.461	0.637965949245101
"DSM_0013383192"	6.53064220183486	12.34	1.88955383232187	0.673	0.795413991769547
"DSM_0013643271"	3.84107382550336	7.42857142857143	1.933982986541	0.908	0.950586634264885
"DSM_0013655471"	1.67181818181818	0.953333333333333	0.570237447888345	0.863	0.922990069513406
"DSM_0014176127"	11.5543252595156	19.32375	1.67242565584571	0.0744	0.211421635883905
"DSM_0014259051"	4.42937669376694	5.784	1.3058270722694	0.00337	0.0366615151515152
"DSM_0014514044"	6.65439024390244	9.55666666666667	1.4361446077533	0.0804	0.221601535508637
"DSM_0014523738"	19.4173394495413	22.9291666666667	1.18086037102309	0.427	0.609313017555482
"DSM_0014597727"	3.48032727272727	6.76909090909091	1.94495815440554	0.00624	0.0514818355640535
"DSM_0014811182"	9.69805555555556	20.6780952380952	2.13218981059041	0.0129	0.0772923504867872
"DSM_0015434181"	1.45013333333333	1.11125	0.766308845163663	0.883	0.935094395280236
"DSM_0015534305"	8.15974264705882	12.4076	1.52058717249769	0.00598	0.050612652259332
"DSM_0015640461"	9.92483333333333	9.40285714285714	0.947407057333336	0.0943	0.242244722719141
"DSM_0015754914"	13.029584295612	20.4352941176471	1.5683765233039	0.0472	0.164379628132579
"DSM_0015856091"	1.76943548387097	4.89071428571429	2.7639969528671	0.00732	0.0569492805755396
"DSM_0015986810"	5.08973293768546	5.81692307692308	1.14287392838499	0.727	0.837186848436247
"DSM_0016098740"	2.61868852459016	6.22714285714286	2.3779624031909	0.0408	0.15035620188195
"DSM_0016171220"	5.26439516129032	11.7073913043478	2.22388155631507	0.027	0.117215662650602
"DSM_0016236737"	10.7824822695035	11.6602222222222	1.08140425653202	0.416	0.599975895547372
"DSM_0016785207"	10.5693785310734	8.441	0.798627845069971	0.411	0.595556004036327
"DSM_0016817881"	18.4835294117647	16.4927272727273	0.89229318196284	0.246	0.433620294599018
"DSM_0016857708"	5.83048780487805	7.96666666666667	1.36638081294011	0.317	0.509946228528753
"DSM_0016907109"	7.61175324675325	13.4866666666667	1.77182131756824	0.0164	0.0877654658385093
"DSM_0016929843"	3.65469444444444	4.14535714285714	1.13425546399879	0.879	0.932692610837438
"DSM_0016973254"	3.78037267080745	2.895	0.765797515772871	0.539	0.701726201269266
"DSM_0016981133"	6.81458064516129	8.85684210526316	1.29968996867797	0.0557	0.178273105497771
"DSM_0017024191"	5.139	4.738	0.921969254718817	1	1
"DSM_0017064695"	7.51537878787879	17.512962962963	2.33028347036996	9.4e-05	0.004308
"DSM_0017457377"	6.23697916666667	7.138	1.1444643006263	0.994	1
"DSM_0017589299"	2.39388746803069	4.95333333333333	2.06915880528342	0.104	0.256751862464183
"DSM_0017611237"	5.18182795698925	27.9575	5.39529683965886	0.0604	0.187061969805895
"DSM_0017642843"	2.15170731707317	3.03	1.40818408524144	0.171	0.349462998102467
"DSM_0017670718"	4.15114114114114	9.26	2.2307119139424	0.276	0.466094864758918
"DSM_0017821592"	4.9499375	8.62214285714286	1.74186903514294	0.0201	0.0989609142857143
"DSM_0018233371"	4.8919387755102	6.75	1.37982103001606	0.851	0.91767409261577
"DSM_0018257405"	7.55653225806452	13.3888571428571	1.77182557893116	0.0161	0.0869157894736842
"DSM_0018578095"	3.71684782608696	1.906	0.512800116976166	0.568	0.723305941472066
"DSM_0018634447"	6.71972222222222	18.064	2.68820635773635	0.0143	0.0807397116644823
"DSM_0018674397"	3.78123762376238	4.56666666666667	1.20771745154772	0.0892	0.235388278388278
"DSM_0018772110"	3.95278846153846	10.4325	2.63927607093337	0.526	0.691277608297743
"DSM_0019002288"	4.77456790123457	5.99575757575758	1.2557696737766	0.0432	0.15573690376569
"DSM_0019070321"	2.51522900763359	2.45962962962963	0.97789490426708	0.816	0.896310045894951
"DSM_0019114235"	4.26825	1.93333333333333	0.452956910521486	0.365	0.554059196617336
"DSM_0019126219"	2.59035608308605	2.67454545454545	1.03250108045343	0.839	0.911349470499244
"DSM_0019477161"	4.555	8.66666666666667	1.90267105744603	0.859	0.921686674968867
"DSM_0019485565"	7.18707317073171	13.194	1.83579597515865	0.0682	0.202067125171939
"DSM_0019549660"	9.63	8.50833333333333	0.883523710626514	0.622	0.761243181818182
"DSM_0020021447"	3.94122448979592	4.43222222222222	1.12457999631778	0.782	0.874573208722741
"DSM_0020226808"	10.7904016064257	12.2738888888889	1.13748211944028	0.235	0.422882205513784
"DSM_0020304852"	9.01974358974359	8.69964285714286	0.964511105064592	0.589	0.739123798427032
"DSM_0020369848"	8.7179185520362	8.49066666666667	0.973932781774331	0.373	0.561258819420189
"DSM_0020603250"	2.58821428571429	15.2166666666667	5.87921438756267	0.27	0.459202526648243
"DSM_0020743010"	3.86952380952381	7.68666666666667	1.98646320452867	0.218	0.402893178893179
"DSM_0020913672"	15.8994690265487	19.4422222222222	1.22282210744006	0.416	0.599975895547372
"DSM_0020928819"	9.27814814814815	10.1105555555556	1.08971697736617	0.917	0.957681454545455
"DSM_0021140619"	1.42481481481481	1.34	0.940473095918898	0.555	0.715421903052065
"DSM_0021147532"	4.85650862068966	7.45	1.53402383931979	0.244	0.432929159802306
"DSM_0021283921"	8.48050632911392	15.4369565217391	1.82028712940682	0.000166	0.00600947899159664
"DSM_0021292714"	4.2628431372549	8.49	1.99162852740277	0.84	0.91151637279597
"DSM_0021914183"	3.49082914572864	7.06333333333333	2.02339703218531	0.0409	0.150595897435897
"DSM_0021926361"	8.37098623853211	14.4284210526316	1.72362259851973	0.0365	0.142300452488688
"DSM_0021988944"	11.9090217391304	13.7975	1.15857543148691	0.79	0.879865563598759
"DSM_0022411800"	9.50890756302521	8.84515151515152	0.930196392858558	0.835	0.908378787878788
"DSM_0022453217"	3.86645259938838	10.6944	2.76594623239186	0.000539	0.012995010989011
"DSM_0022738952"	3.39672619047619	3.11125	0.915955489354245	0.0979	0.246928103044496
"DSM_0023112186"	3.86698630136986	2.3975	0.61999185235042	0.506	0.675921860465116
"DSM_0023207648"	5.53919642857143	8.98333333333333	1.62177554978857	0.185	0.365754933455714
"DSM_0023220463"	5.59721649484536	5.145	0.919206895916601	0.931	0.965979768786127
