GeneCluster	Gene	HyPhy_result	Detection_rate
Soil_0124377794_COG0553	DSM_0036673713	REG_OE	15.27
Soil_0124377794_COG0553	DSM_0065026691	REG_OE	0.49
Soil_0124377794_COG0553	DSM_0122578124	REG_OE	33
Soil_0124377794_COG0553	DSM_0137524829	REG_OE	1.48
Soil_0124377794_COG0553	DSM_0185663974	REG_OE	10.34
Soil_0124377794_COG0553	DSM_0286006749	REG_OE	7.14
Soil_0124377794_COG0553	DSM_0311096929	REG_OE	3.45
Soil_0124377794_COG0553	DSM_0327126531	REG_OE	29.31
Soil_0124377794_COG0553	DSM_0349040011	REG_OE	6.4
Soil_0124377794_COG0553	DSM_0375407523	REG_OE	6.65
Soil_0124377794_COG0553	DSM_0437506194	REG_OE	15.76
Soil_0124377794_COG0553	DSM_0446077710	REG_OE	1.72
Soil_0124377794_COG0553	DSM_0464480231	REG_OE	6.4
Soil_0124377794_COG0553	DSM_0465181527	REG_OE	12.32
Soil_0124377794_COG0553	DSM_0465329181	REG_OE	19.21
Soil_0124377794_COG0553	DSM_0036673713	REG_MS	25.15
Soil_0124377794_COG0553	DSM_0065026691	REG_MS	0.6
Soil_0124377794_COG0553	DSM_0122578124	REG_MS	40.72
Soil_0124377794_COG0553	DSM_0137524829	REG_MS	2.99
Soil_0124377794_COG0553	DSM_0185663974	REG_MS	12.57
Soil_0124377794_COG0553	DSM_0286006749	REG_MS	7.78
Soil_0124377794_COG0553	DSM_0311096929	REG_MS	6.59
Soil_0124377794_COG0553	DSM_0327126531	REG_MS	11.38
Soil_0124377794_COG0553	DSM_0349040011	REG_MS	9.58
Soil_0124377794_COG0553	DSM_0375407523	REG_MS	10.78
Soil_0124377794_COG0553	DSM_0437506194	REG_MS	16.17
Soil_0124377794_COG0553	DSM_0446077710	REG_MS	8.38
Soil_0124377794_COG0553	DSM_0464480231	REG_MS	6.59
Soil_0124377794_COG0553	DSM_0465181527	REG_MS	16.77
Soil_0124377794_COG0553	DSM_0465329181	REG_MS	29.34
Soil_0124377794_COG0553	DSM_0036673713	REG_HV	8.52
Soil_0124377794_COG0553	DSM_0065026691	REG_HV	7.21
Soil_0124377794_COG0553	DSM_0122578124	REG_HV	25.57
Soil_0124377794_COG0553	DSM_0137524829	REG_HV	6.23
Soil_0124377794_COG0553	DSM_0185663974	REG_HV	8.2
Soil_0124377794_COG0553	DSM_0286006749	REG_HV	8.85
Soil_0124377794_COG0553	DSM_0311096929	REG_HV	8.85
Soil_0124377794_COG0553	DSM_0327126531	REG_HV	13.77
Soil_0124377794_COG0553	DSM_0349040011	REG_HV	7.87
Soil_0124377794_COG0553	DSM_0375407523	REG_HV	4.92
Soil_0124377794_COG0553	DSM_0437506194	REG_HV	10.49
Soil_0124377794_COG0553	DSM_0446077710	REG_HV	3.93
Soil_0124377794_COG0553	DSM_0464480231	REG_HV	4.59
Soil_0124377794_COG0553	DSM_0465181527	REG_HV	10.16
Soil_0124377794_COG0553	DSM_0465329181	REG_HV	13.44
Soil_0124377794_COG0553	DSM_0036673713	REG_HE	24.92
Soil_0124377794_COG0553	DSM_0065026691	REG_HE	21.19
Soil_0124377794_COG0553	DSM_0122578124	REG_HE	15
Soil_0124377794_COG0553	DSM_0137524829	REG_HE	83.65
Soil_0124377794_COG0553	DSM_0185663974	REG_HE	35.16
Soil_0124377794_COG0553	DSM_0286006749	REG_HE	13.17
Soil_0124377794_COG0553	DSM_0311096929	REG_HE	8.02
Soil_0124377794_COG0553	DSM_0327126531	REG_HE	20.87
Soil_0124377794_COG0553	DSM_0349040011	REG_HE	4.76
Soil_0124377794_COG0553	DSM_0375407523	REG_HE	53.81
Soil_0124377794_COG0553	DSM_0437506194	REG_HE	23.33
Soil_0124377794_COG0553	DSM_0446077710	REG_HE	39.52
Soil_0124377794_COG0553	DSM_0464480231	REG_HE	10.32
Soil_0124377794_COG0553	DSM_0465181527	REG_HE	30.56
Soil_0124377794_COG0553	DSM_0465329181	REG_HE	30
Soil_0124377794_COG0553	DSM_0002345081	NS_OE	12.56
Soil_0124377794_COG0553	DSM_0002757509	NS_OE	0.99
Soil_0124377794_COG0553	DSM_0011675525	NS_OE	0.25
Soil_0124377794_COG0553	DSM_0012055879	NS_OE	0.49
Soil_0124377794_COG0553	DSM_0015935859	NS_OE	0
Soil_0124377794_COG0553	DSM_0034721477	NS_OE	1.97
Soil_0124377794_COG0553	DSM_0038682253	NS_OE	2.71
Soil_0124377794_COG0553	DSM_0041712689	NS_OE	0.74
Soil_0124377794_COG0553	DSM_0043130211	NS_OE	0.99
Soil_0124377794_COG0553	DSM_0044634390	NS_OE	3.45
Soil_0124377794_COG0553	DSM_0047665028	NS_OE	8.62
Soil_0124377794_COG0553	DSM_0058465796	NS_OE	6.65
Soil_0124377794_COG0553	DSM_0063189444	NS_OE	2.71
Soil_0124377794_COG0553	DSM_0076972599	NS_OE	1.48
Soil_0124377794_COG0553	DSM_0078278245	NS_OE	1.48
Soil_0124377794_COG0553	DSM_0078872280	NS_OE	2.71
Soil_0124377794_COG0553	DSM_0080096610	NS_OE	2.22
Soil_0124377794_COG0553	DSM_0080795722	NS_OE	0.99
Soil_0124377794_COG0553	DSM_0081592240	NS_OE	3.94
Soil_0124377794_COG0553	DSM_0085404892	NS_OE	2.46
Soil_0124377794_COG0553	DSM_0096201096	NS_OE	8.37
Soil_0124377794_COG0553	DSM_0096237057	NS_OE	9.11
Soil_0124377794_COG0553	DSM_0096599777	NS_OE	19.95
Soil_0124377794_COG0553	DSM_0099190093	NS_OE	1.72
Soil_0124377794_COG0553	DSM_0099755948	NS_OE	0.25
Soil_0124377794_COG0553	DSM_0104321459	NS_OE	3.2
Soil_0124377794_COG0553	DSM_0104534731	NS_OE	7.64
Soil_0124377794_COG0553	DSM_0106972693	NS_OE	7.88
Soil_0124377794_COG0553	DSM_0112492754	NS_OE	3.94
Soil_0124377794_COG0553	DSM_0117774432	NS_OE	10.1
Soil_0124377794_COG0553	DSM_0119590865	NS_OE	6.16
Soil_0124377794_COG0553	DSM_0119735831	NS_OE	0.74
Soil_0124377794_COG0553	DSM_0121012840	NS_OE	0.49
Soil_0124377794_COG0553	DSM_0121861088	NS_OE	1.23
Soil_0124377794_COG0553	DSM_0143596663	NS_OE	13.55
Soil_0124377794_COG0553	DSM_0144801711	NS_OE	3.94
Soil_0124377794_COG0553	DSM_0148307588	NS_OE	44.83
Soil_0124377794_COG0553	DSM_0154791446	NS_OE	5.17
Soil_0124377794_COG0553	DSM_0158896633	NS_OE	15.02
Soil_0124377794_COG0553	DSM_0159538824	NS_OE	1.72
Soil_0124377794_COG0553	DSM_0159596553	NS_OE	5.17
Soil_0124377794_COG0553	DSM_0167518420	NS_OE	16.75
Soil_0124377794_COG0553	DSM_0170853014	NS_OE	8.62
Soil_0124377794_COG0553	DSM_0180755659	NS_OE	4.19
Soil_0124377794_COG0553	DSM_0181789322	NS_OE	4.93
