Idents(object = data)	clstr	UMAP_1	UMAP_2	Eco2					Vent	Seep	Trench	Rest
10A	C1	-3.522568866	4.062278079	Seep			C4	14	21%	12%	30%	37%
10B	C1	-3.544610187	4.301149177	Seep			C10	13	0%	0%	0%	100%
10C	C1	-3.734628036	4.191689777	Seep			C2	12	10%	4%	8%	78%
10D	C1	-3.706555739	4.132170247	Seep			C6	11	4%	1%	79%	15%
10E	C1	-3.723548069	4.183958577	Seep			C12	10	0%	0%	100%	0%
10F	C1	-3.664103076	4.201165246	Seep			C9	9	0%	0%	100%	0%
12A	C1	-3.049240455	3.535830664	Seep			C8	8	0%	0%	100%	0%
12B	C1	-3.043060913	3.777692723	Seep			C7	7	0%	2%	98%	0%
12C	C1	-3.117877751	3.976495074	Seep			C5	6	0%	0%	99%	1%
12D	C1	-3.189699582	4.312902974	Seep			C3	5	2%	1%	96%	2%
12E	C1	-3.175293617	4.578664827	Seep			C0	4	2%	3%	93%	2%
12F	C1	-3.65652357	4.217040824	Seep			C13	3	0%	100%	0%	0%
1A	C4	0.250345365	2.578790473	Seep			C1	2	57%	26%	0%	17%
1B	C4	-0.793555602	2.998990106	Seep			C11	1	100%	0%	0%	0%
1C	C1	-1.519289002	3.419114637	Seep								
1D	C1	-1.776413664	3.633780646	Seep								
1E	C1	-1.769510969	3.632869291	Seep								
1F	C1	-3.343162022	4.322839545	Seep								
1G	C1	-3.660939827	4.056530761	Seep								
7A	C1	-2.64504598	3.475005435	Seep								
7B	C1	-2.721540972	3.496549772	Seep								
7C	C4	2.872944966	0.810710596	Seep								
7D	C1	-2.286567196	3.766068386	Seep								
7E	C1	-2.705724284	3.866950916	Seep								
FDZ031YE0-5	C0	5.208409921	0.42692058	Trench								
FDZ031YE10-15	C0	6.332247392	0.376273202	Trench								
FDZ031YE5-10	C0	5.057123795	1.023131477	Trench								
FDZ0320-5	C0	5.234862939	0.702726292	Trench								
FDZ0325-10	C0	5.057143823	0.841820883	Trench								
FDZ033-Bk0-2	C0	4.322890416	1.294409143	Trench								
FDZ033-Bk12-14	C6	-2.768630162	-3.398124171	Trench								
FDZ033-Bk14-16	C6	-1.176175698	-3.46776147	Trench								
FDZ033-Bk16-18	C6	-2.167451724	-3.637405825	Trench								
FDZ033-Bk20-22	C6	-4.971975669	-2.784048034	Trench								
FDZ033-Bk2-4	C0	4.801738397	0.298411774	Trench								
FDZ033-Bk4-6	C0	4.91772236	-0.351888133	Trench								
FDZ033-Bk6-8	C6	-4.106248483	-3.128461314	Trench								
FDZ033-Bk8-10	C3	0.419095174	-3.48767562	Trench								
FDZ033-GG0-2	C0	5.520039216	1.494941758	Trench								
FDZ033-GG18-20	C12	0.635918275	-1.620232774	Trench								
FDZ033-GG20-22	C12	0.573383466	-1.616769982	Trench								
FDZ033-GG2-4	C12	5.471680299	0.77627449	Trench								
FDZ033-GG8-10	C12	0.668122664	-1.770973397	Trench								
FDZ033-RG0-2	C0	4.840411797	1.115260767	Trench								
FDZ033-RG10-12	C6	-2.934146002	-3.319428397	Trench								
FDZ033-RG2-4	C0	5.236730233	0.113577294	Trench								
FDZ033-RG4-6	C0	5.603076592	-0.152768803	Trench								
FDZ033-RG6-8	C3	3.198586122	-1.462761832	Trench								
FDZ033-RG8-10	C9	4.205302373	-1.301562978	Trench								
FDZ033-RR0-2	C0	6.417498246	1.390624063	Trench								
FDZ033-RR10-12	C6	-2.289170071	-3.517698718	Trench								
FDZ033-RR12-14	C6	-0.737351045	-3.701032592	Trench								
FDZ033-RR14-16	C6	-1.888744101	-3.533735228	Trench								
FDZ033-RR2-4	C0	5.422213212	0.377178597	Trench								
FDZ033-RR4-6	C0	4.895763055	-0.304251624	Trench								
FDZ033-RR6-8	C6	-1.867458567	-3.52519126	Trench								
FDZ033-RR8-10	C3	0.717639342	-3.30417533	Trench								
FDZ033-YBk0-2	C0	5.560938493	1.373656409	Trench								
FDZ033-YBk12-14	C12	0.372660771	-1.833153201	Trench								
FDZ033-YBk16-18	C12	0.571999207	-1.660760833	Trench								
FDZ033-YBk2-4	C0	5.690724984	1.296902405	Trench								
FDZ033-YBk26-28	C12	0.52036275	-1.702335072	Trench								
FDZ033-YBk4-6	C12	4.774410859	-2.87470336	Trench								
FDZ033-YG0-2	C0	5.25132145	0.435065197	Trench								
FDZ033-YG10-12	C0	5.020464555	0.316739129	Trench								
FDZ033-YG2-4	C4	4.550307408	1.490653592	Trench								
FDZ033-YG4-6	C6	-1.55076991	-3.502253009	Trench								
FDZ033-YG6-8	C3	1.397899762	-3.094314051	Trench								
FDZ033-YG8-10	C3	3.428648129	-1.089231444	Trench								
FDZ036-RY0-2	C0	5.739496842	1.280224609	Trench								
FDZ036-RY6-8	C12	0.778942719	-1.548675729	Trench								
FDZ036-Y0-2	C12	0.401934043	-1.927118254	Trench								
FDZ036-Y2-4	C12	0.348306552	-2.050294591	Trench								
FDZ036-Y26-28	C12	0.590156213	-1.743851615	Trench								
FDZ0381-2	C0	5.053520814	0.761093306	Trench								
FDZ03815-16	C3	2.022401944	-2.404366923	Trench								
FDZ0383-4	C0	5.199359551	0.23537116	Trench								
FDZ0385-6	C0	5.589612618	-0.627443028	Trench								
FDZ039-Y0-2	C0	4.69468607	0.825474548	Trench								
FDZ039-Y10-12	C0	5.058635369	-0.160954905	Trench								
FDZ039-Y14-16	C3	0.859762326	-3.387114478	Trench								
FDZ039-Y18-20	C3	3.780641213	-0.190678073	Trench								
FDZ039-Y2-4	C0	4.667920724	0.871885168	Trench								
FDZ039-Y24-26	C3	2.120568887	-2.540930224	Trench								
FDZ039-Y28-30	C6	-0.915955171	-3.634706927	Trench								
FDZ039-Y30-32	C3	2.259545461	-2.277868224	Trench								
FDZ039-Y32-34	C3	3.926728383	-0.141453934	Trench								
FDZ039-Y36-38	C3	0.883796349	-2.861949397	Trench								
FDZ039-Y4-6	C0	4.848605767	0.216857003	Trench								
FDZ039-Y6-8	C0	5.116123811	-0.21520443	Trench								
FDZ039-Y8-10	C0	5.118612901	-0.122137738	Trench								
FDZ039-YBe0-2	C0	4.841570512	1.086354005	Trench								
FDZ039-YBe2-4	C0	5.373622552	1.054118263	Trench								
FDZ039-YBe4-6	C0	4.862414971	0.367740916	Trench								
FDZ039-YBe8-10	C0	6.712160722	-1.926606608	Trench								
FDZ041-Be0-5	C0	5.615066186	1.07221167	Trench								
FDZ041-Be15-20	C6	-0.250839337	-2.351896239	Trench								
FDZ041-RG0-5	C0	5.778583184	0.99825381	Trench								
FDZ043-RG0-2	C0	3.768251553	0.762520003	Trench								
FDZ043-RG10-12	C9	4.126643792	-1.568156911	Trench								
FDZ043-RG12-14	C9	3.991816178	-2.941328955	Trench								
FDZ043-RG14-16	C9	3.842907086	-3.593783809	Trench								
FDZ043-RG16-18	C0	5.371248856	0.701753902	Trench								
FDZ043-RG18-20	C9	3.917019502	-3.181790305	Trench								
FDZ043-RG22-24	C0	4.885781899	-0.265470935	Trench								
FDZ043-RG2-4	C0	4.225731984	0.469986009	Trench								
FDZ043-RG24-26	C3	3.630984441	-2.147602511	Trench								
FDZ043-RG26-28	C3	0.691181556	-3.427321864	Trench								
FDZ043-RG32-35	C3	2.466130868	-1.764256669	Trench								
FDZ043-RG4-6	C0	3.85070242	0.451132225	Trench								
FDZ043-RG6-8	C0	3.803072587	0.690126824	Trench								
FDZ043-RG8-10	C3	3.418451444	-1.511239005	Trench								
FDZ044-RBk0-2	C0	4.783761636	0.75915842	Trench								
FDZ044-RBk10-12	C7	5.552925721	-2.81348033	Trench								
FDZ044-RBk14-16	C3	3.818700448	-1.728686286	Trench								
FDZ044-RBk16-18	C6	-4.819739803	-2.821608973	Trench								
FDZ044-RBk18-20	C6	-6.604484901	-2.678366614	Trench								
FDZ044-RBk20-22	C3	3.99309887	-0.074559761	Trench								
FDZ044-RBk22-24	C6	-1.284145936	-3.609154177	Trench								
FDZ044-RBk2-4	C0	4.961128846	-0.179562999	Trench								
FDZ044-RBk24-26	C3	0.403765098	-3.442772818	Trench								
FDZ044-RBk4-6	C0	4.975641862	-0.127245618	Trench								
FDZ044-RBk6-8	C0	4.928301469	-0.294127417	Trench								
FDZ044-RBk8-10	C7	5.470192567	-3.007836772	Trench								
FDZ044-W0-4	C0	3.157197133	0.628111886	Trench								
FDZ044-W12-16	C6	-2.228727922	-3.431694938	Trench								
FDZ044-W16-20	C6	-5.483817443	-2.517290068	Trench								
FDZ044-W20-24	C3	2.664521352	-1.703430844	Trench								
FDZ044-W24-28	C3	3.647253648	-0.619023991	Trench								
FDZ044-W28-34	C3	0.532074347	-3.382677031	Trench								
FDZ044-W4-8	C0	3.643851891	0.764909076	Trench								
FDZ044-W8-12	C3	0.339918748	-3.484468413	Trench								
FDZ045-Bk0-10	C12	5.333685533	0.855379509	Trench								
FDZ046-Be0-2	C0	3.632833615	0.592533874	Trench								
FDZ046-Be10-12	C0	5.206880227	-1.172074509	Trench								
FDZ046-Be12-14	C0	4.759664193	-0.251704884	Trench								
FDZ046-Be14-16	C9	4.098420754	-2.133525801	Trench								
FDZ046-Be16-18	C7	5.600501672	-2.699933005	Trench								
FDZ046-Be18-20	C7	5.339920655	-2.628241015	Trench								
FDZ046-Be20-23	C3	0.773319856	-3.617260886	Trench								
FDZ046-Be2-4	C0	4.2829801	0.396479892	Trench								
FDZ046-Be4-6	C0	4.316409245	1.007661151	Trench								
FDZ046-Be6-8	C0	4.676408425	-0.044693185	Trench								
FDZ046-Be8-10	C0	4.502734796	-0.12969966	Trench								
FDZ046-G0-2	C0	4.078416005	1.045553552	Trench								
FDZ046-G10-12	C3	2.155750409	-2.535486174	Trench								
FDZ046-G12-14	C3	0.415324822	-3.454043818	Trench								
FDZ046-G14-16	C3	1.193680898	-3.024359179	Trench								
FDZ046-G16-18	C6	-1.079480275	-3.538948012	Trench								
FDZ046-G2-4	C0	3.880101338	0.563529777	Trench								
FDZ046-G4-6	C0	5.87094082	-0.735770179	Trench								
FDZ046-G6-8	C3	4.856204644	-1.286835147	Trench								
FDZ046-G8-10	C6	-0.77306734	-3.381737185	Trench								
FDZ046-RBk0-5	C0	4.810484544	0.808327126	Trench								
FDZ046-RBk5-10	C0	6.634338036	-1.813132954	Trench								
FDZ046-RG0-2	C0	4.696087972	0.358995365	Trench								
FDZ046-RG10-12	C7	5.447639123	-3.188878012	Trench								
FDZ046-RG2-4	C0	4.94697918	0.30890088	Trench								
FDZ046-RG4-6	C0	5.04635872	0.339088129	Trench								
FDZ046-RG6-8	C0	6.305859223	-1.336088372	Trench								
FDZ046-RG8-10	C9	4.031441346	-3.005208445	Trench								
FDZ046-Y0-2	C0	3.784838811	0.762148666	Trench								
FDZ046-Y10-12	C3	0.615569488	-3.439967109	Trench								
FDZ046-Y12-14	C3	2.631703034	-1.670082761	Trench								
FDZ046-Y14-16	C6	-0.799388036	-3.676453067	Trench								
FDZ046-Y16-18	C6	-3.119933083	-3.383650733	Trench								
FDZ046-Y18-20	C6	-0.382718429	-3.611082507	Trench								
FDZ046-Y20-22	C6	-1.176877841	-3.621856643	Trench								
FDZ046-Y22-24	C6	-2.599687203	-3.441869212	Trench								
FDZ046-Y2-4	C0	3.637091294	0.767339753	Trench								
FDZ046-Y24-26	C6	-0.972396239	-3.543381167	Trench								
FDZ046-Y4-6	C0	3.892918244	0.858367013	Trench								
FDZ046-Y6-8	C0	3.879346505	0.618309068	Trench								
FDZ046-Y8-10	C0	4.828417436	-0.432052089	Trench								
FDZ046-YBk0-2	C0	4.698842183	0.665197419	Trench								
FDZ046-YBk2-4	C0	5.046834603	0.589142966	Trench								
FDZ046-YBk4-6	C0	5.981679574	-1.127466155	Trench								
FDZ046-YBk6-8	C3	5.070189134	-1.651061965	Trench								
FDZ050-Be0-2	C5	5.953551904	2.786998975	Trench								
FDZ050-Be12-14	C3	1.824117795	-2.583258105	Trench								
FDZ050-Be14-16	C6	-3.270736883	-3.329389525	Trench								
FDZ050-Be16-18	C3	1.559700147	-2.644601298	Trench								
FDZ050-Be18-21	C3	0.2525412	-3.339495612	Trench								
FDZ050-Be2-4	C5	5.810841218	2.282235342	Trench								
FDZ050-Be6-8	C5	4.957774774	0.764087009	Trench								
FDZ050-Bk0-2	C5	5.964124337	3.152034091	Trench								
FDZ050-Bk2-4	C3	4.348186627	-2.280433131	Trench								
FDZ050-Bk4-6	C3	4.100390569	-1.991065694	Trench								
FDZ050-Bk6-8	C0	5.965218202	2.017311739	Trench								
FDZ050-Bk8-9	C3	3.215634004	-2.279066516	Trench								
FDZ050-RBk0-2	C5	6.026721612	4.984420585	Trench								
FDZ050-RBk10-12	C8	3.729931012	5.658247279	Trench								
FDZ050-RBk12-14	C8	1.630221978	6.471234845	Trench								
FDZ050-RBk14-16	C8	1.242919103	6.526664781	Trench								
FDZ050-RBk16-18	C8	1.304036275	6.469171571	Trench								
FDZ050-RBk18-20	C8	1.245803967	6.449384259	Trench								
FDZ050-RBk20-22	C8	1.292450562	6.649719762	Trench								
FDZ050-RBk22-24	C8	1.1590444	6.672312783	Trench								
FDZ050-RBk2-4	C5	6.213205949	4.704354333	Trench								
FDZ050-RBk24-26	C8	1.110222951	6.750422525	Trench								
FDZ050-RBk26-28	C8	1.085744515	6.758982228	Trench								
FDZ050-RBk28-30	C8	1.023562566	6.740838575	Trench								
FDZ050-RBk4-6	C5	6.295671121	4.48739581	Trench								
FDZ050-RBk6-8	C5	5.460177079	3.116740035	Trench								
FDZ050-RBk8-10	C5	4.574372426	4.806926774	Trench								
FDZ051-Be0-2	C5	6.310583726	4.710754441	Trench								
FDZ051-Be10-12	C5	6.113367692	3.717549252	Trench								
FDZ051-Be12-14	C5	5.868047372	3.420602726	Trench								
FDZ051-Be14-16	C5	5.625040666	3.371199536	Trench								
FDZ051-Be16-18	C5	5.409159318	3.604417729	Trench								
FDZ051-Be18-20	C5	5.536932603	3.483296084	Trench								
FDZ051-Be20-22	C8	2.700910226	6.31439309	Trench								
FDZ051-Be22-24	C8	1.982317105	6.519360112	Trench								
FDZ051-Be2-4	C5	6.332212106	4.268171596	Trench								
FDZ051-Be4-6	C5	5.964030877	3.093084263	Trench								
FDZ051-Be6-8	C5	5.872650758	3.006757664	Trench								
FDZ051-Be8-10	C5	5.642598763	3.212656068	Trench								
FDZ052-BYSed	C5	4.834664002	4.372467088	Trench								
FDZ052-G0-2	C8	4.436392442	4.964207935	Trench								
FDZ052-G10-12	C3	2.008879319	-2.51092763	Trench								
FDZ052-G12-15	C3	2.548983708	-1.855586005	Trench								
FDZ052-G2-4	C7	5.42739071	-3.57630725	Trench								
FDZ052-G4-6	C5	4.4762422	4.892345952	Trench								
FDZ052-G6-8	C5	5.939625398	3.325511026	Trench								
FDZ052-G8-10	C6	-4.30305992	-3.054098082	Trench								
FDZ053-N0-2	C9	3.000205651	-0.267203522	Trench								
FDZ053-N10-12	C6	-2.256448492	-3.510657264	Trench								
FDZ053-N14-16	C9	2.891780034	-0.255856467	Trench								
FDZ053-N16-18	C9	2.737614289	-0.083802057	Trench								
FDZ053-N20-22	C9	2.820100919	-0.183195306	Trench								
FDZ053-N22-24	C9	2.84012045	-0.235074235	Trench								
FDZ053-N2-4	C0	6.542682305	-1.632653189	Trench								
FDZ053-N24-26	C9	2.855592385	-0.234297944	Trench								
FDZ053-N26-29	C9	3.812550679	-2.890432311	Trench								
FDZ053-N4-6	C9	3.185833589	-0.720064116	Trench								
FDZ053-N6-8	C9	2.810001985	0.332786726	Trench								
FDZ053-N8-10	C6	-0.887620791	-3.670199824	Trench								
FDZ053-RBk0-2	C5	6.081567422	4.739555167	Trench								
FDZ053-RBk10-12	C5	3.98057808	5.599830198	Trench								
FDZ053-RBk12-14	C8	3.331728593	6.046192693	Trench								
FDZ053-RBk14-16	C8	3.253207818	6.024337339	Trench								
FDZ053-RBk16-18	C8	2.991397038	6.166770982	Trench								
FDZ053-RBk18-20	C8	2.718287126	6.331394242	Trench								
FDZ053-RBk20-22	C8	2.745116368	6.311403321	Trench								
FDZ053-RBk22-25	C8	2.563584939	6.389565992	Trench								
FDZ053-RBk2-4	C5	5.940691606	4.879867362	Trench								
FDZ053-RBk4-6	C5	6.012665406	4.860011386	Trench								
FDZ053-RBk6-8	C5	6.096093789	4.720869111	Trench								
FDZ053-RBk8-10	C5	6.084033624	4.618776607	Trench								
FDZ054-Be0-2	C0	5.826742784	1.126986133	Trench								
FDZ054-Be10-12	C7	5.592089311	-4.67051406	Trench								
FDZ054-Be14-16	C7	5.819605485	-5.485844088	Trench								
FDZ054-Be16-18	C7	5.305068627	-4.336413813	Trench								
FDZ054-Be20-22	C7	5.890008584	-5.656697703	Trench								
FDZ054-Be22-24	C7	5.830918923	-5.663545562	Trench								
FDZ054-Be2-4	C7	5.698738709	-3.450093699	Trench								
FDZ054-Be26-28	C7	5.862806931	-5.604414893	Trench								
FDZ054-Be28-30	C7	5.777196542	-5.644697619	Trench								
FDZ054-Be30-32	C7	5.908550874	-5.678124858	Trench								
FDZ054-Be32-34	C7	5.831499711	-5.588309718	Trench								
FDZ054-Be4-6	C7	5.701584474	-3.273899985	Trench								
FDZ054-Be6-8	C9	5.15566887	-3.517814112	Trench								
FDZ054-Be8-10	C7	5.716127053	-3.44075532	Trench								
FDZ054-RG0-2	C0	5.884288445	0.542259263	Trench								
FDZ054-RG10-12	C7	5.902504579	-3.110609484	Trench								
FDZ054-RG12-14	C7	5.391051904	-4.085062934	Trench								
FDZ054-RG14-16	C7	5.621842042	-4.839775992	Trench								
FDZ054-RG18-20	C7	5.689896241	-5.089775515	Trench								
FDZ054-RG20-22	C7	5.799886361	-5.542143775	Trench								
FDZ054-RG2-4	C0	6.420148507	-2.340895606	Trench								
FDZ054-RG26-28	C7	5.860562936	-5.626882506	Trench								
FDZ054-RG28-30	C7	5.856320992	-5.620159579	Trench								
FDZ054-RG30-32	C7	5.828355447	-5.640855742	Trench								
FDZ054-RG4-6	C7	5.820732728	-3.153233958	Trench								
FDZ054-RG8-10	C7	5.951772347	-3.016768885	Trench								
FDZ056-Be0-2	C0	6.14382805	1.649542423	Trench								
FDZ056-Be12-14	C3	4.012638226	-2.671585513	Trench								
FDZ056-Be14-16	C0	5.521175996	-2.77770753	Trench								
FDZ056-Be16-18	C7	5.647623673	-2.996310187	Trench								
FDZ056-Be20-22	C9	3.733779088	-4.021820975	Trench								
FDZ056-Be22-24	C9	3.616808549	-4.244492961	Trench								
FDZ056-Be2-4	C0	6.269697801	0.60829668	Trench								
FDZ056-Be4-6	C0	6.61600174	-1.590931845	Trench								
FDZ056-Be6-8	C0	6.449288026	0.255773591	Trench								
FDZ056-Be8-10	C0	6.188477174	-2.695720149	Trench								
FDZ058-Be0-2	C5	5.868199006	5.103716897	Trench								
FDZ058-Be10-12	C8	3.465569154	5.830280112	Trench								
FDZ058-Be12-14	C8	3.248928204	5.973758268	Trench								
