Ecosystem	SampleType	Latitude	Longitude	Depth
Hadal Ecosystems	Sediment	16.97 	129.70 	7719 
Hadal Ecosystems	Sediment	16.97 	129.70 	7719 
Hadal Ecosystems	Sediment	16.97 	129.70 	7719 
Hadal Ecosystems	Sediment	16.97 	129.70 	7721 
Hadal Ecosystems	Sediment	16.97 	129.70 	7721 
Hadal Ecosystems	Sediment	16.97 	129.76 	7405 
Hadal Ecosystems	Sediment	16.97 	129.76 	7405 
Hadal Ecosystems	Sediment	16.97 	129.76 	7405 
Hadal Ecosystems	Sediment	16.97 	129.76 	7405 
Hadal Ecosystems	Sediment	16.97 	129.76 	7405 
Hadal Ecosystems	Sediment	16.97 	129.76 	7405 
Hadal Ecosystems	Sediment	16.97 	129.76 	7405 
Hadal Ecosystems	Sediment	16.97 	129.76 	7405 
Hadal Ecosystems	Sediment	16.97 	129.76 	7405 
Hadal Ecosystems	Sediment	16.95 	129.74 	7729 
Hadal Ecosystems	Sediment	16.95 	129.74 	7729 
Hadal Ecosystems	Sediment	16.95 	129.74 	7729 
Hadal Ecosystems	Sediment	16.95 	129.74 	7729 
Hadal Ecosystems	Sediment	16.95 	129.74 	7729 
Hadal Ecosystems	Sediment	16.96 	129.74 	7664 
Hadal Ecosystems	Sediment	16.96 	129.74 	7664 
Hadal Ecosystems	Sediment	16.96 	129.74 	7664 
Hadal Ecosystems	Sediment	16.96 	129.74 	7664 
Hadal Ecosystems	Sediment	16.96 	129.74 	7664 
Hadal Ecosystems	Sediment	16.96 	129.74 	7664 
Hadal Ecosystems	Sediment	16.96 	129.74 	7664 
Hadal Ecosystems	Sediment	16.96 	129.74 	7664 
Hadal Ecosystems	Sediment	16.96 	129.74 	7664 
Hadal Ecosystems	Sediment	16.96 	129.74 	7664 
Hadal Ecosystems	Sediment	16.96 	129.74 	7664 
Hadal Ecosystems	Sediment	16.96 	129.74 	7664 
Hadal Ecosystems	Sediment	16.96 	129.74 	7664 
Hadal Ecosystems	Sediment	16.96 	129.74 	7664 
Hadal Ecosystems	Sediment	16.95 	129.74 	7729 
Hadal Ecosystems	Sediment	16.95 	129.74 	7729 
Hadal Ecosystems	Sediment	16.95 	129.74 	7729 
Hadal Ecosystems	Sediment	16.95 	129.74 	7729 
Hadal Ecosystems	Sediment	16.95 	129.74 	7729 
Hadal Ecosystems	Sediment	16.95 	129.74 	7729 
Hadal Ecosystems	Sediment	16.96 	129.74 	7664 
Hadal Ecosystems	Sediment	16.96 	129.74 	7664 
Hadal Ecosystems	Sediment	16.96 	129.74 	7664 
Hadal Ecosystems	Sediment	16.96 	129.74 	7664 
Hadal Ecosystems	Sediment	16.96 	129.74 	7664 
Hadal Ecosystems	Sediment	16.96 	129.74 	7664 
Hadal Ecosystems	Sediment	16.94 	129.74 	7731 
Hadal Ecosystems	Sediment	16.94 	129.74 	7731 
Hadal Ecosystems	Sediment	16.95 	129.74 	7728 
Hadal Ecosystems	Sediment	16.95 	129.74 	7728 
Hadal Ecosystems	Sediment	16.95 	129.74 	7728 
Hadal Ecosystems	Sediment	16.95 	129.70 	7717 
Hadal Ecosystems	Sediment	16.95 	129.70 	7717 
Hadal Ecosystems	Sediment	16.95 	129.70 	7717 
Hadal Ecosystems	Sediment	16.95 	129.70 	7717 
Hadal Ecosystems	Sediment	16.98 	129.76 	7560 
Hadal Ecosystems	Sediment	16.98 	129.76 	7560 
Hadal Ecosystems	Sediment	16.98 	129.76 	7560 
Hadal Ecosystems	Sediment	16.98 	129.76 	7560 
Hadal Ecosystems	Sediment	16.98 	129.76 	7560 
Hadal Ecosystems	Sediment	16.98 	129.76 	7560 
Hadal Ecosystems	Sediment	16.98 	129.76 	7560 
Hadal Ecosystems	Sediment	16.98 	129.76 	7560 
Hadal Ecosystems	Sediment	16.98 	129.76 	7560 
Hadal Ecosystems	Sediment	16.98 	129.76 	7560 
Hadal Ecosystems	Sediment	16.98 	129.76 	7560 
Hadal Ecosystems	Sediment	16.98 	129.76 	7560 
Hadal Ecosystems	Sediment	16.98 	129.76 	7560 
Hadal Ecosystems	Sediment	16.97 	129.72 	7725 
Hadal Ecosystems	Sediment	16.97 	129.72 	7725 
Hadal Ecosystems	Sediment	16.97 	129.72 	7725 
Hadal Ecosystems	Sediment	16.97 	129.72 	7725 
Hadal Ecosystems	Sediment	16.94 	129.74 	7731 
Hadal Ecosystems	Sediment	16.94 	129.74 	7731 
Hadal Ecosystems	Sediment	16.95 	129.78 	6765 
Hadal Ecosystems	Sediment	16.95 	129.78 	6765 
Hadal Ecosystems	Sediment	16.95 	129.78 	6765 
Hadal Ecosystems	Sediment	16.95 	129.78 	6765 
Hadal Ecosystems	Sediment	16.95 	129.78 	6765 
Hadal Ecosystems	Sediment	16.95 	129.78 	6765 
Hadal Ecosystems	Sediment	16.95 	129.78 	6765 
Hadal Ecosystems	Sediment	16.95 	129.78 	6765 
Hadal Ecosystems	Sediment	16.95 	129.78 	6765 
Hadal Ecosystems	Sediment	16.95 	129.78 	6765 
Hadal Ecosystems	Sediment	16.95 	129.78 	6765 
Hadal Ecosystems	Sediment	16.95 	129.78 	6765 
Hadal Ecosystems	Sediment	16.95 	129.78 	6765 
Hadal Ecosystems	Sediment	16.95 	129.78 	6765 
Hadal Ecosystems	Sediment	16.95 	129.78 	6765 
Hadal Ecosystems	Sediment	16.98 	129.75 	7513 
Hadal Ecosystems	Sediment	16.98 	129.75 	7513 
Hadal Ecosystems	Sediment	16.98 	129.75 	7513 
Hadal Ecosystems	Sediment	16.98 	129.75 	7513 
Hadal Ecosystems	Sediment	16.98 	129.75 	7513 
Hadal Ecosystems	Sediment	16.98 	129.75 	7513 
Hadal Ecosystems	Sediment	16.98 	129.75 	7513 
Hadal Ecosystems	Sediment	16.98 	129.75 	7513 
Hadal Ecosystems	Sediment	16.98 	129.75 	7513 
Hadal Ecosystems	Sediment	16.98 	129.75 	7513 
Hadal Ecosystems	Sediment	16.98 	129.75 	7513 
Hadal Ecosystems	Sediment	16.98 	129.75 	7513 
Hadal Ecosystems	Sediment	16.98 	129.76 	6796 
Hadal Ecosystems	Sediment	16.98 	129.76 	6796 
Hadal Ecosystems	Sediment	16.98 	129.76 	6796 
Hadal Ecosystems	Sediment	16.98 	129.76 	6796 
Hadal Ecosystems	Sediment	16.98 	129.76 	6796 
Hadal Ecosystems	Sediment	16.98 	129.76 	6796 
Hadal Ecosystems	Sediment	16.98 	129.76 	6796 
Hadal Ecosystems	Sediment	16.98 	129.76 	6796 
Hadal Ecosystems	Sediment	16.95 	129.74 	7729 
Hadal Ecosystems	Sediment	16.90 	129.69 	7091 
Hadal Ecosystems	Sediment	16.90 	129.69 	7091 
Hadal Ecosystems	Sediment	16.90 	129.69 	7091 
Hadal Ecosystems	Sediment	16.90 	129.69 	7091 
Hadal Ecosystems	Sediment	16.90 	129.69 	7091 
Hadal Ecosystems	Sediment	16.90 	129.69 	7091 
Hadal Ecosystems	Sediment	16.90 	129.69 	7091 
Hadal Ecosystems	Sediment	16.90 	129.69 	7091 
Hadal Ecosystems	Sediment	16.90 	129.69 	7091 
Hadal Ecosystems	Sediment	16.90 	129.69 	7091 
Hadal Ecosystems	Sediment	16.90 	129.69 	7091 
Hadal Ecosystems	Sediment	11.35 	142.20 	6518 
Hadal Ecosystems	Sediment	11.35 	142.20 	6518 
Hadal Ecosystems	Sediment	11.35 	142.20 	6518 
Hadal Ecosystems	Sediment	11.35 	142.20 	6518 
Hadal Ecosystems	Sediment	11.35 	142.20 	6518 
Hadal Ecosystems	Sediment	11.35 	142.20 	6518 
Hadal Ecosystems	Sediment	11.35 	142.20 	6518 
Hadal Ecosystems	Sediment	11.35 	142.20 	6518 
Hadal Ecosystems	Sediment	11.35 	142.20 	6518 
Hadal Ecosystems	Sediment	16.91 	129.69 	7587 
Hadal Ecosystems	Sediment	16.91 	129.69 	7587 
Hadal Ecosystems	Sediment	16.91 	129.69 	7587 
Hadal Ecosystems	Sediment	16.91 	129.69 	7587 
Hadal Ecosystems	Sediment	16.91 	129.69 	7587 
Hadal Ecosystems	Sediment	16.91 	129.69 	7587 
Hadal Ecosystems	Sediment	16.91 	129.69 	7587 
Hadal Ecosystems	Sediment	16.91 	129.69 	7587 
Hadal Ecosystems	Sediment	16.89 	129.68 	6847 
Hadal Ecosystems	Sediment	16.89 	129.68 	6847 
Hadal Ecosystems	Sediment	16.89 	129.68 	6847 
Hadal Ecosystems	Sediment	16.89 	129.68 	6847 
Hadal Ecosystems	Sediment	16.89 	129.68 	6847 
Hadal Ecosystems	Sediment	16.89 	129.68 	6847 
Hadal Ecosystems	Sediment	16.89 	129.68 	6847 
Hadal Ecosystems	Sediment	16.89 	129.68 	6847 
Hadal Ecosystems	Sediment	16.89 	129.68 	6847 
Hadal Ecosystems	Sediment	16.89 	129.68 	6847 
Hadal Ecosystems	Sediment	16.89 	129.68 	6847 
Hadal Ecosystems	Sediment	16.89 	129.68 	6847 
Hadal Ecosystems	Sediment	16.89 	129.68 	6847 
Hadal Ecosystems	Sediment	16.91 	129.70 	7626 
Hadal Ecosystems	Sediment	16.91 	129.70 	7626 
Hadal Ecosystems	Sediment	16.91 	129.70 	7626 
Hadal Ecosystems	Sediment	16.91 	129.70 	7626 
Hadal Ecosystems	Sediment	11.36 	142.59 	10812 
Hadal Ecosystems	Sediment	11.36 	142.59 	10812 
Hadal Ecosystems	Sediment	11.36 	142.59 	10812 
Hadal Ecosystems	Sediment	11.36 	142.59 	10812 
Hadal Ecosystems	Sediment	11.36 	142.59 	10812 
Hadal Ecosystems	Sediment	11.36 	142.59 	10812 
Hadal Ecosystems	Sediment	11.36 	142.59 	10812 
Hadal Ecosystems	Sediment	11.36 	142.59 	10812 
Hadal Ecosystems	Sediment	11.36 	142.59 	10812 
Hadal Ecosystems	Sediment	11.36 	142.59 	10812 
Hadal Ecosystems	Sediment	11.36 	142.59 	10812 
Hadal Ecosystems	Sediment	11.36 	142.59 	10812 
Hadal Ecosystems	Sediment	11.37 	142.59 	10900 
Hadal Ecosystems	Sediment	11.37 	142.59 	10900 
Hadal Ecosystems	Sediment	11.37 	142.59 	10900 
Hadal Ecosystems	Sediment	11.37 	142.59 	10900 
Hadal Ecosystems	Sediment	11.37 	142.59 	10900 
Hadal Ecosystems	Sediment	11.37 	142.59 	10900 
Hadal Ecosystems	Sediment	11.37 	142.59 	10900 
Hadal Ecosystems	Sediment	11.37 	142.59 	10900 
Hadal Ecosystems	Sediment	11.37 	142.59 	10900 
Hadal Ecosystems	Sediment	11.37 	142.59 	10900 
Hadal Ecosystems	Sediment	11.37 	142.59 	10900 
Hadal Ecosystems	Sediment	11.37 	142.59 	10900 
Hadal Ecosystems	Sediment	11.37 	142.59 	10900 
Hadal Ecosystems	Sediment	11.37 	142.59 	10900 
Hadal Ecosystems	Sediment	11.37 	142.59 	10900 
Hadal Ecosystems	Sediment	11.36 	142.56 	10872 
Hadal Ecosystems	Sediment	11.36 	142.56 	10872 
Hadal Ecosystems	Sediment	11.36 	142.56 	10872 
Hadal Ecosystems	Sediment	11.36 	142.56 	10872 
Hadal Ecosystems	Sediment	11.36 	142.56 	10872 
Hadal Ecosystems	Sediment	11.36 	142.56 	10872 
Hadal Ecosystems	Sediment	11.36 	142.56 	10872 
Hadal Ecosystems	Sediment	11.36 	142.56 	10872 
Hadal Ecosystems	Sediment	11.36 	142.56 	10872 
Hadal Ecosystems	Sediment	11.36 	142.56 	10872 
Hadal Ecosystems	Sediment	11.36 	142.56 	10872 
Hadal Ecosystems	Sediment	11.36 	142.56 	10872 
Hadal Ecosystems	Sediment	11.35 	142.20 	6518 
Hadal Ecosystems	Sediment	11.35 	142.20 	6518 
Hadal Ecosystems	Sediment	11.35 	142.20 	6518 
Hadal Ecosystems	Sediment	11.35 	142.20 	6518 
Hadal Ecosystems	Sediment	11.35 	142.20 	6518 
Hadal Ecosystems	Sediment	11.35 	142.20 	6518 
Hadal Ecosystems	Sediment	11.35 	142.20 	6518 
Hadal Ecosystems	Sediment	11.35 	142.20 	6518 
Hadal Ecosystems	Sediment	11.30 	142.14 	10139 
Hadal Ecosystems	Sediment	11.30 	142.14 	10139 
Hadal Ecosystems	Sediment	11.30 	142.14 	10139 
Hadal Ecosystems	Sediment	11.30 	142.14 	10139 
Hadal Ecosystems	Sediment	11.30 	142.14 	10139 
Hadal Ecosystems	Sediment	11.30 	142.14 	10139 
Hadal Ecosystems	Sediment	11.30 	142.14 	10139 
Hadal Ecosystems	Sediment	11.30 	142.14 	10139 
Hadal Ecosystems	Sediment	11.30 	142.14 	10139 
Hadal Ecosystems	Sediment	11.30 	142.14 	10139 
Hadal Ecosystems	Sediment	11.30 	142.14 	10139 
Hadal Ecosystems	Sediment	11.30 	142.14 	10139 
Hadal Ecosystems	Sediment	11.32 	142.16 	10827 
Hadal Ecosystems	Sediment	11.32 	142.16 	10827 
Hadal Ecosystems	Sediment	11.32 	142.16 	10827 
Hadal Ecosystems	Sediment	11.32 	142.16 	10827 
Hadal Ecosystems	Sediment	11.32 	142.16 	10827 
Hadal Ecosystems	Sediment	11.32 	142.16 	10827 
Hadal Ecosystems	Sediment	11.32 	142.16 	10827 
Hadal Ecosystems	Sediment	11.32 	142.16 	10827 
Hadal Ecosystems	Sediment	11.32 	142.16 	10827 
Hadal Ecosystems	Sediment	11.32 	142.16 	10827 
Hadal Ecosystems	Sediment	11.32 	142.16 	10827 
Hadal Ecosystems	Sediment	11.32 	142.16 	10827 
Hadal Ecosystems	Sediment	11.12 	142.14 	8207 
Hadal Ecosystems	Sediment	11.12 	142.14 	8207 
Hadal Ecosystems	Sediment	11.12 	142.14 	8207 
Hadal Ecosystems	Sediment	11.12 	142.14 	8207 
