Dataset	MAG	Superkindom	Phylumn	Class	Order	Family	Genu	Species	Completeness	Contamination	Size (bp)	Total_cds	Category_L	Percentage
DSGC	10A (CNS0876618)_bin.16	d__Bacteria	p__Verrucomicrobiota	c__Kiritimatiellia	o__UBA8416	f__JAFGTH01	g__	s__	93.24	2.027	2615850	2433	145	0.0596
DSGC	10A (CNS0876618)_bin.24	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Opitutales	f__DSM-45221	g__Lentimonas	s__	90.36	2.788	2531468	2856	225	0.0788
DSGC	10A (CNS0876618)_bin.31	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__JAFGXI01	g__JAFGXI01	s__	98.92	1.075	3684581	3020	162	0.0536
DSGC	10A (CNS0876618)_bin.33	d__Bacteria	p__Verrucomicrobiota	c__Kiritimatiellia	o__Kiritimatiellales	f__Pontiellaceae	g__Pontiella	s__	93.41	3.407	2992052	2650	194	0.0732
DSGC	10A (CNS0876618)_bin.44	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__SZUA-229	f__SZUA-229	g__GCA-2746365	s__	93.01	2.662	2492395	2442	123	0.0504
DSGC	10A (CNS0876618)_bin.45	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__GRL18	f__GRL18	g__GRL18	s__GRL18	90.7	4.471	2744230	2838	149	0.0525
DSGC	10A (CNS0876618)_bin.6	d__Bacteria	p__Campylobacterota	c__Campylobacteria	o__Campylobacterales	f__Sulfurovaceae	g__Sulfurovum	s__	96.11	2.561	2664603	2750	169	0.0615
DSGC	10B (CNS0876619)_bin.26	d__Bacteria	p__Krumholzibacteriota	c__Krumholzibacteria	o__Krumholzibacteriales	f__WJIX01	g__JAGHBT01	s__	94.68	1.098	2017587	1797	78	0.0434
DSGC	10B (CNS0876619)_bin.2	d__Bacteria	p__Planctomycetota	c__Phycisphaerae	o__FEN-1346	f__JAACEH01	g__	s__	98.86	2.272	3796943	3263	141	0.0432
DSGC	10B (CNS0876619)_bin.37	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Ralstonia	s__Ralstonia	90.19	0.988	4806017	4998	166	0.0332
