GeneCluster	RGC	REG_rate	Mem
Soil_0152602827	DS	1.00 	4
DSM_0007132401	DS	0.65 	293
DSM_0472813475	DS	0.56 	16
DSM_0137894760	DS	0.55 	175
Soil_0144769970	DS	0.50 	14
OM-RGC.v2.031589139	DS	0.50 	6
Soil_0091528402	DS	0.50 	4
DSM_0336371966	DS	0.46 	456
DSM_0332176130	DS	0.45 	157
DSM_0410733877	DS	0.45 	101
DSM_0253053938	DS	0.44 	362
DSM_0032383049	DS	0.44 	36
DSM_0412917478	DS	0.43 	261
DSM_0404944484	DS	0.41 	104
Soil_0058402377	DS	0.40 	5
DSM_0462676910	DS	0.40 	306
DSM_0041298170	DS	0.39 	335
DSM_0138182453	DS	0.39 	140
OM-RGC.v2.004348224	DS	0.38 	13
OM-RGC.v2.001592122	DS	0.38 	131
DSM_0316111800	DS	0.38 	87
Soil_0053503634	DS	0.38 	8
DSM_0082076246	DS	0.37 	209
DSM_0429930651	DS	0.36 	11
OM-RGC.v2.034863332	DS	0.36 	11
DSM_0280328572	DS	0.36 	245
DSM_0094512008	DS	0.36 	445
OM-RGC.v2.000230336	DS	0.36 	53
Soil_0069095213	DS	0.36 	244
DSM_0477134337	DS	0.35 	34
DSM_0447533299	DS	0.35 	74
Soil_0011696679	DS	0.35 	37
DSM_0395489809	DS	0.35 	60
Soil_0103042967	DS	0.35 	100
DSM_0008356726	DS	0.35 	423
DSM_0089880728	DS	0.34 	299
DSM_0080911632	DS	0.34 	334
OM-RGC.v2.001013979	DS	0.33 	3
Soil_0098988554	DS	0.33 	12
Soil_0001157701	DS	0.33 	21
DSM_0235991055	DS	0.33 	6
Soil_0003011055	DS	0.33 	3
Soil_0118549171	DS	0.33 	12
OM-RGC.v2.034717644	DS	0.33 	3
OM-RGC.v2.000643103	DS	0.33 	43
Soil_0152047588	DS	0.32 	133
DSM_0178963671	DS	0.32 	194
DSM_0119708166	DS	0.32 	176
Soil_0115650541	DS	0.32 	41
DSM_0388600839	DS	0.31 	214
DSM_0489691398	DS	0.31 	16
DSM_0118197906	DS	0.31 	251
Soil_0123790408	DS	0.31 	13
DSM_0046833515	DS	0.31 	13
DSM_0024713790	DS	0.31 	335
Soil_0071130660	DS	0.31 	62
DSM_0041901157	DS	0.31 	49
DSM_0051743771	DS	0.31 	72
Soil_0139987376	DS	0.31 	118
Soil_0147675868	DS	0.30 	33
DSM_0445666995	DS	0.30 	43
DSM_0501476575	DS	0.30 	147
DSM_0400685034	DS	0.30 	255
Soil_0107076033	DS	0.30 	37
DSM_0012285521	DS	0.29 	17
DSM_0448174127	DS	0.29 	150
OM-RGC.v2.006912986	DS	0.29 	48
DSM_0056772836	DS	0.29 	333
DSM_0420442681	DS	0.29 	261
DSM_0483794074	DS	0.29 	150
DSM_0173359245	DS	0.29 	56
DSM_0362710416	DS	0.29 	154
Soil_0059917366	DS	0.29 	7
Soil_0152533172	DS	0.28 	67
DSM_0384744522	DS	0.28 	301
DSM_0218417223	DS	0.28 	365
DSM_0218234921	DS	0.28 	275
DSM_0431040645	DS	0.28 	291
Soil_0105275506	DS	0.28 	18
DSM_0385693753	DS	0.28 	72
DSM_0151034987	DS	0.27 	289
DSM_0278260683	DS	0.27 	180
DSM_0164083875	DS	0.27 	103
DSM_0420316691	DS	0.27 	214
DSM_0464584968	DS	0.27 	330
OM-RGC.v2.020082140	DS	0.27 	41
DSM_0140581349	DS	0.27 	436
DSM_0355439767	DS	0.27 	261
DSM_0435227630	DS	0.27 	131
DSM_0325729078	DS	0.27 	322
DSM_0246722693	DS	0.27 	45
OM-RGC.v2.027687460	DS	0.27 	15
Soil_0050610070	DS	0.27 	60
